Number,Year,country,Author(s),Title,Abstract,Context,Methodology,Limitation,Key finding,APA reference,Website for access,,,,,,,,,,,,,
25,2023,United Kingdom,"Jackie Potter, Katharine Welsh, Laura Milne",Evaluating an institutional response to Generative Artificial Intelligence (GenAI): Applying Kotter’s change model and sharing lessons learned for educational development,Examines the University of Chester's use of Kotter's change model to adapt to GenAI in education.,Higher education in the UK.,Applied Kotter's model to institutional strategies.,Single institution focus.,Structured change management is crucial for GenAI integration.,"Potter, J., Welsh, K., & Milne, L. (2023). Evaluating an institutional response to Generative Artificial Intelligence (GenAI): Applying Kotter’s change model and sharing lessons learned for educational development. Journal of Perspectives in Applied Academic Practice. https://doi.org/10.56433/jpaap.v11i3.582.",https://jpaap.ac.uk/JPAAP/article/view/582,,,,,,,,,,,,,
26,2023,Ireland,Aodán Farrelly,Having a ‘Chat’ about Hybrid and HyFlex,Reflects on using GenAI tools for reports on Hybrid and HyFlex teaching models.,Higher education in Ireland.,Reflective narrative on AI-assisted writing.,Personal reflection; limited generalizability.,GenAI tools are effective with proper evaluation and patience.,"Farrelly, A. (2023). Having a ‘Chat’ about Hybrid and HyFlex. Irish Journal of Technology Enhanced Learning. https://doi.org/10.22554/ijtel.v7i2.151.",https://journal.ilta.ie/index.php/telji/article/view/151,,,,,,,,,,,,,
27,2023,United States,"Ethan Dickey, Andrés M. Bejarano, Chirayu Garg",Innovating Computer Programming Pedagogy: The AI-Lab Framework for Generative AI Adoption,"Introduces the AI-Lab framework for using GenAI in programming courses, preserving key skills like problem-solving.",Undergraduate computer science education in the US.,Framework design and theoretical analysis.,Lacks empirical testing of the framework.,GenAI enhances learning with proper guidance.,"Dickey, E., Bejarano, A., & Garg, C. (2023). Innovating Computer Programming Pedagogy: The AI-Lab Framework for Generative AI Adoption. ArXiv, abs/2308.12258. https://doi.org/10.48550/arXiv.2308.12258.",https://arxiv.org/abs/2308.12258,,,,,,,,,,,,,
28,2023,International collaboration,"J. Prather, Paul Denny, Juho Leinonen, Brett A. Becker, Ibrahim Albluwi, Michelle Craig, H. Keuning, Natalie Kiesler, Tobias Kohn, Andrew Luxton-Reilly, Stephen MacNeil, Andrew Petersen, Raymond Pettit, Brent N. Reeves, Jaromír Šavelka",The Robots Are Here: Navigating the Generative AI Revolution in Computing Education,"This comprehensive study examines the impact of generative AI, particularly large language models (LLMs), on computing education. It synthesizes findings from 71 primary articles, surveys computing students and instructors across 20 countries, and includes interviews with 22 educators from five continents. The report discusses ethical considerations using the ACM Code of Ethics and benchmarks current GenAI models on educational datasets.",Global computing education.,"Literature review, international surveys, educator interviews, ethical analysis, and model benchmarking.",Rapidly evolving field; findings may become outdated as technology advances.,"Generative AI is poised to significantly influence computing education, necessitating adaptive pedagogical strategies and ethical guidelines.","Prather, J., Denny, P., Leinonen, J., Becker, B., Albluwi, I., Craig, M., Keuning, H., Kiesler, N., Kohn, T., Luxton-Reilly, A., MacNeil, S., Petersen, A., Pettit, R., Reeves, B., & Šavelka, J. (2023). The Robots Are Here: Navigating the Generative AI Revolution in Computing Education. Proceedings of the 2023 Working Group Reports on Innovation and Technology in Computer Science Education. https://doi.org/10.1145/3623762.3633499.",https://dl.acm.org/doi/abs/10.1145/3623762.3633499,,,,,,,,,,,,,
29,2023,United States,"Ethan Dickey, Andrés M. Bejarano",A Model for Integrating Generative AI into Course Content Development,"Introduces GAIDE, a framework for integrating Generative AI (GenAI) into educational content creation, aiming to streamline curriculum design and enhance material quality.",Higher education institutions in the United States.,Development and preliminary evaluation of the GAIDE framework.,Initial evaluations; broader applicability requires further research.,"GAIDE reduces content creation time and effort without compromising quality, and may positively impact academic integrity and student engagement.","Dickey, E., & Bejarano, A. (2023). A Model for Integrating Generative AI into Course Content Development. ArXiv, abs/2308.12276. https://doi.org/10.48550/arXiv.2308.12276.",https://arxiv.org/abs/2308.12276,,,,,,,,,,,,,
30,2023,South Africa,"Micheal M. van Wyk 
Michael Agyemang Adarkwah 
Samuel Amponsah ",Why All the Hype about ChatGPT? Academics' Views of a Chat-Based Conversational Learning Strategy at an Open Distance e-Learning Institution,Examines academics' views on ChatGPT as a conversational tool in distance learning.,Open distance e-learning in South Africa.,Qualitative interviews with academics.,Focused on a single educational context.,ChatGPT aids interactive learning but requires human oversight.,"Micheal M. van Wyk, Michael Agyemang Adarkwah, & Samuel Amponsah. (2023). Why All the Hype about ChatGPT? Academics’ Views of a Chat-Based Conversational Learning Strategy at an Open Distance e-Learning Institution. Open Praxis, 15(3), 214–225.",https://search.informit.org/doi/abs/10.3316/informit.378033000103803,,,,,,,,,,,,,
31,2023,United States,"Cheng, Ying
Boyraz, Maggie
Taylor, Julie L.
Gilbert, Rosemarie",Investigation College Students' and Instructors' Perspectives on Adopting Technologies for Public Speaking Skills Development in a Hispanic Serving University,"This study examines the adoption of technologies aimed at enhancing public speaking skills among college students and instructors at a Hispanic-Serving Institution. It explores the relationship between students' communication competence, their perceptions of technology features, satisfaction with these technologies, and their intention to use them. Additionally, it gathers instructors' insights on incorporating such technologies into their teaching practices.",Higher education at a Hispanic-Serving Institution in the United States.,"The research employs a mixed-methods approach, combining quantitative surveys of students (n = 80) and qualitative surveys of instructors (n = 11).","The study is limited by its focus on a single institution, which may affect the generalizability of the findings.","Students with lower communication competence perceive public speaking technologies as more useful. Their perceived usefulness and ease of use are positively associated with future intentions to use these technologies, mediated by their satisfaction. Instructors find these technologies helpful when they assist rather than replace human feedback.","Cheng, Y., Boyraz, M., Taylor, J. L., & Gilbert, R. (2023). Investigation College Students’ and Instructors’ Perspectives on Adopting Technologies for Public Speaking Skills Development in a Hispanic Serving University. International Journal of Education and Development Using Information and Communication Technology, 19(1), 80–101.",https://eric.ed.gov/?id=EJ1391539,,,,,,,,,,,,,
32,2023,Hong Kong,"Chan, Cecilia Ka Yuk 
Lee, Katherine K. W.",The AI Generation Gap: Are Gen Z Students More Interested in Adopting Generative AI Such as ChatGPT in Teaching and Learning than Their Gen X and Millennial Generation Teachers?,Compares Gen Z students' optimism about generative AI with the caution of Gen X and Millennial teachers in higher education.,Higher education in Hong Kong.,Surveys with open and closed questions for students and teachers.,Focus on a single region limits generalizability.,"Gen Z shows enthusiasm for GenAI, while older generations emphasize ethical and pedagogical concerns.","Chan, C. K., & Lee, K. K. (2023). The Ai Generation Gap: Are Gen Z students more interested in adopting generative ai such as chatgpt in teaching and learning than their gen X and millennial generation teachers? Smart Learning Environments, 10(1). https://doi.org/10.1186/s40561-023-00269-3 ",https://link.springer.com/article/10.1186/s40561-023-00269-3,,,,,,,,,,,,,
33,2023,China,"Lizhen Shi
Arshad Muhammad Umer
Yanting Shi",Utilizing AI Models to Optimize Blended Teaching Effectiveness in College-Level English Education,"This study explores the integration of artificial intelligence (AI) into blended learning for college-level English education. It proposes models utilizing deep learning and human job functions to enhance teaching effectiveness. The research highlights the potential of AI technologies, such as cloud computing and big data, to transform educational practices and improve student outcomes.",Higher education institutions in China.,"The study employs a theoretical approach, developing models based on multi-modal blended learning theory and independent learning fundamentals.",The research is primarily theoretical and lacks empirical validation through practical implementation.,Integrating AI into blended learning can significantly enhance the quality of college English education by supporting student learning and optimizing teaching strategies.,"Shi, L., Muhammad Umer, A., & Shi, Y. (2023). Utilizing AI models to optimize blended teaching effectiveness in college-level English education. Cogent Education, 10(2). https://doi.org/10.1080/2331186x.2023.2282804 ",https://www.tandfonline.com/doi/full/10.1080/2331186X.2023.2282804,,,,,,,,,,,,,
34,2023,United Kingdom,"Holmes, Wayne
Iniesto, Francisco
Anastopoulou, Stamatina
Boticario, Jesus G.",Stakeholder Perspectives on the Ethics of AI in Distance-Based Higher Education,"This study explores the ethical considerations of integrating artificial intelligence (AI) into distance-based higher education. Through interviews with 18 stakeholders—including students, educators, and administrators—the research identifies key ethical concerns such as data privacy, algorithmic bias, and the transparency of AI systems. The findings emphasize the necessity for clear ethical guidelines and policies to ensure responsible AI implementation in educational settings.",Distance-based higher education institutions in the United Kingdom.,Qualitative interviews with 18 stakeholders involved in distance education.,The study's focus on a specific educational context may limit the generalizability of its findings.,"Stakeholders express significant ethical concerns regarding AI in education, highlighting the need for transparent and fair AI practices.","Holmes, W., Iniesto, F., Anastopoulou, S., & Boticario, J. G. (2023). Stakeholder perspectives on the ethics of AI in distance-based Higher Education. The International Review of Research in Open and Distributed Learning, 24(2), 96–117. https://doi.org/10.19173/irrodl.v24i2.6089 ",https://www.erudit.org/en/journals/irrodl/2023-v24-n2-irrodl08120/1100750ar/abstract/,,,,,,,,,,,,,
35,2022,United Kingdom,"Rosemary Luckin, Mutlu Cukurova, Carmel Kent, Benedict du Boulay",Empowering educators to be AI-ready,"This article discusses the necessity for educators to develop AI literacy to effectively integrate artificial intelligence into teaching and learning. It outlines a framework for AI readiness, emphasizing understanding AI concepts, ethical considerations, and practical applications in education. The authors advocate for professional development programs to equip teachers with the skills needed to navigate the evolving educational landscape influenced by AI technologies.",Educational institutions in the United Kingdom.,"The study employs a theoretical approach, proposing a framework based on existing literature and expert insights.",The framework is conceptual and requires empirical validation through practical implementation.,"Educators must attain AI literacy to harness AI's potential in education effectively, necessitating targeted professional development initiatives.","Luckin, R., Cukurova, M., Kent, C., & du Boulay, B. (2022). Empowering educators to be AI-ready. Computers and Education: Artificial Intelligence, 3, 100076. https://doi.org/10.1016/j.caeai.2022.100076 ",https://www.sciencedirect.com/science/article/pii/S2666920X22000315,,,,,,,,,,,,,
36,2022,United States,"Schroeder, Kersten T.
Hubertz, Martha
Van Campenhout, Rachel
Johnson, Benny G.",Teaching and Learning with AI-Generated Courseware: Lessons from the Classroom,"This study examines the implementation of AI-generated courseware in two university courses, focusing on its impact on student engagement and learning outcomes. The authors discuss the selection and enhancement of AI-generated materials, instructor practices over multiple semesters, and the resulting effects on student performance. The findings suggest that adaptive courseware can benefit both students and instructors by improving engagement and facilitating iterative teaching improvements.",Higher education courses at the University of Central Florida.,"Case study analysis of two courses utilizing AI-generated courseware, including qualitative assessments of instructor practices and quantitative measures of student engagement and exam scores.","The study is limited to two specific courses at a single institution, which may affect the generalizability of the findings.",The use of AI-generated courseware can enhance student engagement and learning outcomes when effectively integrated into course design and instruction.,"Schroeder, K. T., Hubertz, M., Van Campenhout, R., & Johnson, B. G. (2022). Teaching and learning with AI-generated courseware: Lessons from the classroom. Online Learning, 26(3). https://doi.org/10.24059/olj.v26i3.3370 ",https://eric.ed.gov/?id=EJ1374315,,,,,,,,,,,,,
37,2021,China,"Youmei Wang
Chenchen Liu
Yun-Fang Tu",Factors Affecting the Adoption of AI-Based Applications in Higher Education: An Analysis of Teachers' Perspectives Using Structural Equation Modeling.,"This study investigates factors influencing Chinese university teachers' adoption of AI-based applications in higher education. Utilizing structural equation modeling, the research examines variables such as perceived usefulness, perceived ease of use, and facilitating conditions. Findings indicate that perceived usefulness significantly impacts teachers' intentions to use AI applications, while perceived ease of use and facilitating conditions also play crucial roles. The study suggests that enhancing teachers' perceptions of AI's benefits and providing adequate support can promote AI adoption in educational settings.",Higher education institutions in China.,Surveyed 300 university teachers; analyzed data using structural equation modeling.,Focuses on Chinese educators; results may not generalize globally.,"Perceived usefulness, ease of use, and facilitating conditions significantly influence teachers' adoption of AI-based applications.","Youmei Wang, Chenchen Liu, & Yun-Fang Tu. (2021). Factors Affecting the Adoption of AI-Based Applications in Higher Education: An Analysis of Teachers’ Perspectives Using Structural Equation Modeling. Educational Technology & Society, 24(3), 116–129.",https://www.jstor.org/stable/27032860,,,,,,,,,,,,,
38,2016,United States,"Michael Wollowski, Robert Selkowitz, Laura E. Brown, Ashok Goel, George Luger, Jim Marshall ,Andrew Neel, Todd Neller,Peter Norvig",A Survey of Current Practice and Teaching of AI ,"This study examines the current practices in teaching artificial intelligence (AI) by surveying educators and practitioners. It identifies prevalent topics, teaching methodologies, and the alignment between academic instruction and industry requirements. The findings highlight a need for curriculum updates to incorporate modern AI developments and suggest enhancing collaboration between academia and industry to better prepare students for professional roles.",AI education in the United States.,Conducted surveys among AI educators and practitioners to gather data on teaching practices and industry expectations.,The study's focus on U.S.-based respondents may limit the applicability of its conclusions to other regions.,"There is a discrepancy between academic AI curricula and industry needs, indicating a necessity for curriculum enhancements and stronger academia-industry partnerships.","Wollowski, M., Selkowitz, R., Brown, L., Goel, A., Luger, G., Marshall, J., Neel, A., Neller, T., & Norvig, P. (2016). A survey of current practice and teaching of ai. Proceedings of the AAAI Conference on Artificial Intelligence, 30(1). https://doi.org/10.1609/aaai.v30i1.9857 ",https://ojs.aaai.org/index.php/AAAI/article/view/9857,,,,,,,,,,,,,
39,2023,China,Wang Xinghua,Preparing for AI-enhanced education: Conceptualizing and empirically examining teachers’ AI readiness ,"Introduces the concept of teachers' AI readiness, measuring awareness, knowledge, and ability, and examines its relationship with TPACK.",Primary and secondary education in China.,"Survey of 1,012 teachers; confirmatory factor analysis and structural equation modeling.",Focus on Chinese educators; limited generalizability.,AI readiness is distinct from TPACK and crucial for effective AI integration in teaching.,"Wang, X., Li, L., Tan, S. C., Yang, L., & Lei, J. (2023). Preparing for AI-Enhanced Education: Conceptualizing and empirically examining teachers’ ai readiness. Computers in Human Behavior, 146, 107798. https://doi.org/10.1016/j.chb.2023.107798 ",https://www.sciencedirect.com/science/article/pii/S0747563223001498?casa_token=nL2NLXXsdPIAAAAA:gcE99j_6AQlUSENixjAcvhZh2SUPZ49k3i2iM_uapOwNJwzyR7J1NfhQr88TKU3KnTEcUHMFbMTx,,,,,,,,,,,,,
40,2024,India,"Genimon Vadakkemulanjanal Joseph 
P. Athira 
M. Anit Thomas
Dawn Jose 
Therese V. Roy 
Malavika Prasad ","Impact of Digital Literacy, Use of AI Tools and Peer Collaboration on AI Assisted Learning: Perceptions of the University Students","This study investigates how digital literacy, the use of AI tools, and peer-supported collaborative learning (PSCL) influence university students' perceptions of AI-assisted learning. Surveying 409 students, the research reveals positive correlations among these factors. Notably, PSCL and AI tool usage partially mediate the relationship between digital literacy and AI-assisted learning perceptions, suggesting that enhancing digital literacy and fostering collaborative learning can improve students' engagement with AI in education.",University students in India.,"Descriptive research using structured questionnaires, analyzed with SPSS, Excel, and Process Macro.",Focused on a specific demographic; results may not generalize broadly.,"Digital literacy, peer collaboration, and AI tool usage enhance students' perceptions of AI-assisted learning.","Genimon Vadakkemulanjanal Joseph, P. Athira, M. Anit Thomas, Dawn Jose, Therese V. Roy, & Malavika Prasad. (2024). Impact of Digital Literacy, Use of AI Tools and Peer Collaboration on AI Assisted Learning: Perceptions of the University Students. Digital Education Review, 45, 43–49.",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=af2aff23-dbc9-4920-9aeb-54097d3d4691%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=EJ1434328&db=eric,,,,,,,,,,,,,
41,2024,United States,"Sheri Grotrian
Lisa Parriott
Brad Griffin
Brady Woerth
Wyatt Rowell",Student Perceptions of ChatGPT and New AI Tools,Explores college students' perceptions of ChatGPT and other AI tools in academic settings. The study reveals students recognize the benefits of AI tools for learning and efficiency but express concerns about academic integrity and ethical implications.,Higher education institutions in the United States.,Survey-based research collecting quantitative and qualitative data from students.,"Focused on a specific demographic, limiting generalizability.",Students acknowledge both the advantages and ethical challenges of using AI tools like ChatGPT in academics.,"Sheri Grotrian, Lisa Parriott, Brad Griffin, Brady Woerth, & Wyatt Rowell. (2024). Student Perceptions of ChatGPT and New AI Tools. Educational Research: Theory and Practice, 35(2), 27–30.",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=f725d16f-16da-40e5-b2c5-ace99013aa73%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=EJ1434347&db=eric,,,,,,,,,,,,,
42,2024,China,"Dongmin Ma
Huma Akram
I-Hua Chen",Artificial Intelligence in Higher Education: A Cross- Cultural Examination of Students’ Behavioral Intentions and Attitudes.,"This study examines the differences in attitudes and behavioral intentions toward artificial intelligence (AI) between Chinese and international university students. Utilizing the Technology Acceptance Model (TAM), the research collected data through questionnaires and analyzed it using structural equation modeling and descriptive statistics. The findings reveal significant disparities in AI usage prevalence, attitudes, and behavioral intentions between the two groups. Notably, perceived ease of use had a more substantial impact on both attitudes and behavioral intentions among international students compared to their Chinese counterparts. The study underscores the importance of considering cultural backgrounds and prior technological exposure when integrating AI into higher education. It advocates for tailored educational strategies that address diverse cultural perspectives, provide language-specific support, and ensure user-friendly interfaces to optimize AI adoption in pedagogical practices.","Higher education institutions in China, involving both domestic and international students.",Survey-based data collection from Chinese and international students; analysis conducted using structural equation modeling and descriptive statistics.,"The study focuses on a specific educational context within China, which may limit the generalizability of the findings to other cultural or institutional settings.","Cultural backgrounds and prior technological exposure significantly influence students' attitudes and behavioral intentions toward AI, with international students showing a stronger relationship between perceived ease of use and their attitudes and intentions compared to Chinese students.","Dongmin Ma, Huma Akram, & I-Hua Chen. (2024). Artificial Intelligence in Higher Education: A Cross- Cultural Examination of Students’ Behavioral Intentions and Attitudes. International Review of Research in Open & Distributed Learning, 25(3), 134–157. https://doi-org.libproxy.nie.edu.sg/10.19173/irrodl.v25i3.7703",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=265b909a-5b5a-412c-b310-c7dd7165dde1%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=179346088&db=esu,,,,,,,,,,,,,
43,2024,China,"Chai, Fangyuan.
Ma, Jiajia. 
Wang, Yi. 
Zhu, Jun.
Han, Tingting.",Grading by AI makes me feel fairer? How different evaluators affect college students’ perception of fairness.,"Explores how AI versus human grading impacts students' fairness perceptions. AI is seen as fairer due to transparency, but explanations reduce differences.",Higher education in China.,Three vignette experiments with 466 students.,Focused on Chinese students; limited global applicability.,AI grading perceived as fairer; transparency and explanations are key.,"Chai, F., Ma, J., Wang, Y., Zhu, J., & Han, T. (2024). Grading by AI makes me feel fairer? How different evaluators affect college students’ perception of fairness. Frontiers in Psychology, 15. https://doi-org.libproxy.nie.edu.sg/10.3389/fpsyg.2024.1221177",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=265b909a-5b5a-412c-b310-c7dd7165dde1%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=179346088&db=esu,,,,,,,,,,,,,
44,2022,Malaysia,"Neo, Mai",The Merlin Project: Malaysian Students' Acceptance of an AI Chatbot in Their Learning Process,"Examines Malaysian university students' acceptance of an AI chatbot (MERLIN) for online learning, enhancing comprehension with multimedia content.",Higher education in Malaysia during COVID-19.,Feedback survey from 102 students.,Focused on Malaysian students; limited generalizability.,Students found the chatbot improved learning and understanding.,"Neo, M. (2022). The Merlin Project: Malaysian Students’ Acceptance of an AI Chatbot in Their Learning Process. Turkish Online Journal of Distance Education, 23(3), 31–48.",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=64ad2628-ad2d-4791-b72a-711995f2a6ce%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=EJ1345395&db=eric,,,,,,,,,,,,,
45,2023,Spain,"Almaraz-López, Cristina
Almaraz-Menéndez, Fernando
López-Esteban, Carmen",Comparative Study of the Attitudes and Perceptions of University Students in Business Administration and Management and in Education toward Artificial Intelligence.,Compares AI attitudes between Spanish BAM and Education students. BAM students fear job displacement more but both groups want better AI education.,University students in Spain.,Survey with descriptive analysis.,Limited to specific fields in Spain.,Students value AI and seek enhanced education for future readiness.,"Almaraz-López, C., Almaraz-Menéndez, F., & López-Esteban, C. (2023). Comparative Study of the Attitudes and Perceptions of University Students in Business Administration and Management and in Education toward Artificial Intelligence. Education Sciences, 13(6), 609. https://doi-org.libproxy.nie.edu.sg/10.3390/educsci13060609",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=b6b81a7f-7aa4-4a55-abe0-743f0ce7db5c%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=164613653&db=esu,,,,,,,,,,,,,
46,2023,,"Wang, Faming
King, Ronnel B.
Chai, Ching Sing
Zhou, Ying",University students' intentions to learn artificial intelligence: the roles of supportive environments and expectancy–value beliefs.,This study examines how supportive environments and expectancy–value beliefs influence university students' intentions to learn AI. Data from 494 students indicate that both factors significantly enhance students' motivation to engage with AI learning.,University students across various disciplines.,Structural equation modeling and latent profile analysis.,Specific demographic focus may limit generalizability.,Supportive environments and positive expectancy–value beliefs are crucial in fostering AI learning intentions.,"Wang, F., King, R. B., Chai, C. S., & Zhou, Y. (2023). University students’ intentions to learn artificial intelligence: the roles of supportive environments and expectancy–value beliefs. International Journal of Educational Technology in Higher Education, 20(1), 1–21. https://doi-org.libproxy.nie.edu.sg/10.1186/s41239-023-00417-2",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=a0b805e6-8202-419e-aa00-fecaf415dc12%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=170041139&db=esu,,,,,,,,,,,,,
47,2024,Italy,"Treglia, Eugenia
Tomassoni, Rosella",CREATIVITY AND GENERATIVE AI IN EDUCATIONAL CONTEXTS: CHALLENGES AND FUTURE SCENARIOS. SURVEY ON THE PERCEPTIONS OF STUDENTS AND TEACHERS.,"This study examines the interplay between human creativity and generative AI in educational settings. Through a survey of secondary school teachers and university students in educational sciences, it explores the opportunities and challenges of integrating AI systems into education. Findings highlight the potential of AI to enhance creative processes while also presenting ethical and practical challenges.",Secondary and higher education institutions in Italy,Survey of teachers and university students.,Focuses on specific educational levels within Italy; results may not generalize globally.,AI can augment creativity in education but requires careful consideration of ethical and practical implications.,"Treglia, E., & Tomassoni, R. (2024). Creativity and Generative Ai in Educational Contexts: Challenges and Future Scenarios. Survey on the Perceptions of Students and Teachers. Italian Journal of Health Education, Sport & Inclusive Didactics, 8(2), 388–401. https://doi-org.libproxy.nie.edu.sg/10.32043/gsd.v8i2.1147",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=29ccc91f-a18e-4c46-815a-638a6b64bb2b%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=178495750&db=esu,,,,,,,,,,,,,
48,2022,United States,"Chen, Huan
Li, You
Wang, Ye
Lee, Yugyung
Petri, Alexis
Cha, Teryn",Computer Science and Communication Students' Perceptions of AI-Integration in Learning: A Case Study of OCEL.AI,"Explores perceptions of AI-integrated learning via OCEL.AI. Highlights themes like regulation, self-efficacy, and preparation.",Computer science and communication students in the U.S.,Qualitative interviews with 14 students.,Small sample size.,AI enhances learning but requires balanced implementation.,"Chen, H., Li, Y., Wang, Y., Lee, Y., Petri, A., & Cha, T. (2022). Computer Science and Communication Students’ Perceptions of AI-Integration in Learning: A Case Study of OCEL.AI. Journal of Ethnographic & Qualitative Research, 16(4), 259–274. https://doi-org.libproxy.nie.edu.sg/https://www.jeqr.org/abstracts-from-previous-volumes",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=5c66fb11-027b-412d-b2c9-de128f0540a8%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=EJ1374900&db=eric,,,,,,,,,,,,,
49,2024,Croatia,"Krecar, Irena Miljkovic
Kolega, Maja
Jurcec, Lana",Perception of ChatGPT Usage for Homework Assignments: Students' and Professors' Perspectives.,"Surveys show Croatian students use ChatGPT infrequently, with neutral utility and ethical concerns; professors struggle to identify AI-generated papers.",Higher education in Croatia.,Survey of 350 students; 12 professors tested on AI detection.,Focused on Croatia; limited global applicability.,Highlights need for clear AI usage guidelines in academia.,"Krecar, I. M., Kolega, M., & Jurcec, L. (2024). Perception of ChatGPT Usage for Homework Assignments: Students’ and Professors’ Perspectives. IAFOR Journal of Education, 12(2), 33–60.",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=4bc0ded0-db83-41cb-a015-b5f0bccb1f5a%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=179776182&db=esu,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
