Year,country,Author(s),Title,Context,Methodology,Limitation,Key finding,APA reference,Website for access,,,,,,,,,,
2023,USA,Daisuke Akiba and Michelle C. Fraboni,AI-Supported Academic Advising: Exploring ChatGPT’s Current State and Future Potential toward Student Empowerment,,,,,,,,,,,,,,,,
2023,,"Rosario Michel-Villarreal, Eliseo Vilalta-Perdomo, David Ernesto Salinas-Navarro, Ricardo Thierry-Aguilera and Flor Silvestre Gerardo",Challenges and Opportunities of Generative AI for Higher Education as Explained by ChatGPT,,,,,,,,,,,,,,,,
2023,SA,"Geesje van den Berg
 and Elize du Plessi","ChatGPT and Generative AI: Possibilities for Its Contribution to Lesson Planning, Critical Thinking and Openness in Teacher Education",,,,,,,,,,,,,,,,
2023,Canada,"Daniel H. Chang,, Michael Pin-Chuan Lin, Shiva Hajian and Quincy Q. Wang","Educational Design Principles of Using AI Chatbot That Supports Self-Regulated Learning in Education: Goal Setting, Feedback, and Personalization",,,,,,,,,,,,,,,,
2023,Bulgaria,"Galina Ilieva, Tania Yankova, Stanislava Klisarova-Belcheva , Angel Dimitrov , Marin Bratkov and Delian Angelov",Effects of Generative Chatbots in Higher Education,,,,,,,,,,,,,,,,
2023,Nigeria,"Valentine Joseph Owan, Kinsgley Bekom Abang, Delight Omoji Idika, Eugene Onor Etta, Bassey Asuquo Bassey","Exploring the potential of artificial intelligence tools in educational
 measurement and assessment",,,,,,,,,,,,,,,,
2023,Ireland,Tom Farrelly and Nick Baker,Generative Artificial Intelligence: Implications and Considerations for Higher Education Practice,,,,,,,,,,,,,,,,
2023,Saudi Arabia,Ahmad Almufarreh and Muhammad Arshad,Promising Emerging Technologies for Teaching and Learning: Recent Developments and Future Challenges,,,,,,,,,,,,,,,,
2023,USA,"Ajay Bandi, Pydi Venkata Satya Ramesh Adapa and Yudu Eswar Vinay Pratap Kumar Kuchi","The Power of Generative AI: A Review of Requirements, Models, Input–Output Formats, Evaluation Metrics,
 and Challenges",,,,,,,,,,,,,,,,
2024,,"Barrot, Jessie S.",Leveraging google gemini as a research writing tool in higher education.,,,,,,https://link.springer.com/article/10.1007/s10758-024-09774-x,,,"Barrot, Jessie S.",Leveraging google gemini as a research writing tool in higher education.,,,,,,https://link.springer.com/article/10.1007/s10758-024-09774-x
2024,,"Doug Ward
Heidi G. Loshbaugh
Alison L. Gibbs 
Tim Henkel 
Greg Siering
Jim Williamson 
Mark Kayser ",How Universities Can Move Forward with Generative AI in Teaching and Learning,,,,,,https://www.tandfonline.com/doi/full/10.1080/00091383.2024.2297635?casa_token=GUMCPeLIfa8AAAAA:PAqpE6NimxFODiPJ4o0rUE2ivHyWR93Z1WhuCKXQdd5_Bvdf_paOS-QQ36m9SSYmPYyibKon59ZRthQ&casa_token=qLw--gf7EhsAAAAA:kmrhKnCHaTFN8-a6dpZgAaUqD8kATGZSKZbIz62ROpM1y4s9CcuNTBFoBLJ25DgMGYsRY2bNSWawcW4,,,,,,,,,,
2024,,"Atchley, Paul. 
Pannell, Hannah.
Wofford, Kaelyn. 
Hopkins, Michael. 
Atchley, Ruth Ann.",Human and AI collaboration in the higher education environment: Opportunities and concerns.,,,,,,https://link.springer.com/article/10.1186/s41235-024-00547-9,,,,,,,,,,
2024,,"Giray, Louie
De Silos, Paolo Yves
Adornado, Adonis
Buelo, Robbie Jan Vincent
Galas, Elbert
Reyes-Chua, Ethel
Santiago, Cereneo
Ulanday, Ma. Leah",Use and Impact of Artificial Intelligence in Philippine Higher Education: Reflections from Instructors and Administrators.,,,,,,https://www.tandfonline.com/doi/abs/10.1080/10875301.2024.2352746,,,,,,,,,,
2024,,"Kizilcec, René F.","To advance AI use in education, focus on understanding educators.",,,,,,https://link.springer.com/article/10.1007/s40593-023-00351-4,,,,,,,,,,
2024,Canada,"Estacio Pereira, Sumaya Nsair, Leticia Radin Pereira, Kimberley Grant",Constructive alignment in a graduate-level project management course: an innovative framework using large language models,Project Management Education,Case Study,Requires instructor oversight for customization,"Demonstrates how LLMs can assist in course design, but instructor input remains essential","Pereira, E., Nsair, S., Pereira, L. R., & Grant, K. (2024). Constructive alignment in a graduate-level project management course: An innovative framework using large language models. International Journal of Educational Technology in Higher Education, 21, 25.",https://doi.org/10.1186/s41239-024-00457-2,,,,,,,,,,
2024,China,"Yang Gao, Qikai Wang, Xiaochen Wang",Exploring EFL university teachers’ beliefs in integrating ChatGPT and other large language models in language education: a study in China,Language Education,Survey Study,Focus on beliefs without in-depth application analysis,Identifies concerns and factors shaping beliefs on LLM integration in EFL contexts,"Gao, Y., Wang, Q., & Wang, X. (2024). Exploring EFL university teachers’ beliefs in integrating ChatGPT and other large language models in language education: A study in China. Asia Pacific Journal of Education, 44(1), 29-44.",https://doi.org/10.1080/02188791.2024.2305173,,,,,,,,,,
2024,Hong Kong SAR,Yun Dai,Dual-contrast pedagogy for AI literacy in upper elementary schools,Elementary Education,Experimental Study,Limited to a single school and age group,Demonstrates the effectiveness of dual-contrast pedagogy in enhancing AI literacy,"Dai, Y. (2024). Dual-contrast pedagogy for AI literacy in upper elementary schools. Learning and Instruction, 91, 101899.",https://doi.org/10.1016/j.learninstruc.2024.101899,,,,,,,,,,
2023,Australia,Grant Cooper,Examining Science Education in ChatGPT: An Exploratory Study of Generative Artificial Intelligence,Science Education,Exploratory Study,Potential for over-reliance on AI in science education,"Explores ChatGPT’s role in supporting science educators, while urging critical evaluation","Cooper, G. (2023). Examining Science Education in ChatGPT: An Exploratory Study of Generative Artificial Intelligence. Journal of Science Education and Technology, 32, 444-452.",https://doi.org/10.1007/s10956-023-10039-y,,,,,,,,,,
2023,Japan,"Euan Bonner, Ryan Lege, Erin Frazier",Large Language Model-Based Artificial Intelligence in the Language Classroom: Practical Ideas for Teaching,Language Education,Practical Guide,"Focus on practical application, limited theoretical depth",Provides practical examples for leveraging LLMs in language education,"Bonner, E., Lege, R., & Frazier, E. (2023). Large language model-based artificial intelligence in the language classroom: Practical ideas for teaching. Teaching English with Technology, 23(1), 23-41.",https://doi.org/10.56297/BKAM1691/WIEO1749,,,,,,,,,,
2024,Finland,"Yazid Albadarin, Mohammed Saqr, Nicolas Pope, Markku Tukiainen",A Systematic Literature Review of Empirical Research on ChatGPT in Education,Educational Technology,Systematic Literature Review,"Focuses on limited empirical studies, mostly recent",Synthesizes early empirical findings on ChatGPT’s applications in education,"Albadarin, Y., Saqr, M., Pope, N., & Tukiainen, M. (2024). A systematic literature review of empirical research on ChatGPT in education. Discover Education, 3, 60.",https://doi.org/10.1007/s44217-024-00138-2,,,,,,,,,,
2023,Australia & Romania,"Stefan Popenici, Horațiu Catalano, Gabriela Mestic, Anca Ani-Rus",A Systematic Review of the Artificial Intelligence Implications in Shaping the Future of Higher Education,Higher Education,Systematic Literature Review,"Imagined futures focus, limited empirical grounding",Explores AI’s potential transformative impact on higher education practices,"Popenici, S., Catalano, H., Mestic, G., & Ani-Rus, A. (2023). A systematic review of the artificial intelligence implications in shaping the future of higher education. Educatia 21 Journal, 26, Art. 11.",https://doi.org/10.24193/ed21.2023.26.11,,,,,,,,,,
2023,Vietnam,Mike Perkins,Academic Integrity Considerations of AI Large Language Models in the Post-Pandemic Era: ChatGPT and Beyond,Academic Integrity,Conceptual Analysis,Limited empirical data on actual integrity breaches,"Raises awareness on academic integrity in AI use, especially with ChatGPT","Perkins, M. (2023). Academic integrity considerations of AI large language models in the post-pandemic era: ChatGPT and beyond. Journal of University Teaching & Learning Practice, 20(2).",https://doi.org/10.53761/1.20.02.07,,,,,,,,,,
2024,South Africa,Micheal M Van Wyk,Is ChatGPT an Opportunity or a Threat? Preventive Strategies Employed by Academics Related to a GenAI-Based LLM at a Faculty of Education,Academic Integrity,Exploratory Qualitative Study,"Small sample, focus on perceptions rather than outcomes",Examines academic perspectives on ChatGPT’s role and potential for misuse,"Van Wyk, M. M. (2024). Is ChatGPT an opportunity or a threat? Preventive strategies employed by academics related to a GenAI-based LLM at a faculty of education. Journal of Applied Learning & Teaching, 7(1).",https://doi.org/10.37074/jalt.2024.7.1.15,,,,,,,,,,
